===============================================================================
= Module: UtilititesSLR   |   Example: TrackingSLR
===============================================================================
= Intputs:
-------------------------------------------------------------------------------
= File:        1328_cpf_240128_02901.sgf
= Object:      beaconc
= Avoid Sun:   true
= Avoid angle: 15
= Delta:       100
= Min el:      15
===============================================================================
= Outputs:
-------------------------------------------------------------------------------
= Trim at start: true
= Trim at end:   true
= Sun collision: true
= Sun at start:  false
= Sun at end:    false
= Sun deviation: true
= El deviation: true
===============================================================================
mjd;sod;pass_az;pass_el;track_az;track_el;sun_az;sun_el
60340;30699.400000;291.1462;10.4777;;;225.0000;70.0000
60340;30699.500000;291.1464;10.4855;;;225.0000;70.0000
60340;30699.600000;291.1467;10.4934;;;225.0000;70.0000
60340;30699.700000;291.1469;10.5013;;;225.0000;70.0000
60340;30699.800000;291.1471;10.5092;;;225.0000;70.0000
60340;30699.900000;291.1474;10.5171;;;225.0000;70.0000
60340;30700.000000;291.1476;10.5250;;;225.0000;70.0000
60340;30700.100000;291.1478;10.5329;;;225.0000;70.0000
60340;30700.200000;291.1481;10.5408;;;225.0000;70.0000
60340;30700.300000;291.1483;10.5487;;;225.0000;70.0000
60340;30700.400000;291.1485;10.5566;;;225.0000;70.0000
60340;30700.500000;291.1488;10.5646;;;225.0000;70.0000
60340;30700.600000;291.1490;10.5725;;;225.0000;70.0000
60340;30700.700000;291.1492;10.5804;;;225.0000;70.0000
60340;30700.800000;291.1495;10.5883;;;225.0000;70.0000
60340;30700.900000;291.1497;10.5962;;;225.0000;70.0000
60340;30701.000000;291.1499;10.6042;;;225.0000;70.0000
60340;30701.100000;291.1501;10.6121;;;225.0000;70.0000
60340;30701.200000;291.1504;10.6200;;;225.0000;70.0000
60340;30701.300000;291.1506;10.6279;;;225.0000;70.0000
60340;30701.400000;291.1508;10.6359;;;225.0000;70.0000
60340;30701.500000;291.1511;10.6438;;;225.0000;70.0000
60340;30701.600000;291.1513;10.6518;;;225.0000;70.0000
60340;30701.700000;291.1515;10.6597;;;225.0000;70.0000
60340;30701.800000;291.1518;10.6676;;;225.0000;70.0000
60340;30701.900000;291.1520;10.6756;;;225.0000;70.0000
60340;30702.000000;291.1522;10.6835;;;225.0000;70.0000
60340;30702.100000;291.1525;10.6915;;;225.0000;70.0000
60340;30702.200000;291.1527;10.6994;;;225.0000;70.0000
60340;30702.300000;291.1529;10.7074;;;225.0000;70.0000
60340;30702.400000;291.1532;10.7154;;;225.0000;70.0000
60340;30702.500000;291.1534;10.7233;;;225.0000;70.0000
60340;30702.600000;291.1536;10.7313;;;225.0000;70.0000
60340;30702.700000;291.1538;10.7392;;;225.0000;70.0000
60340;30702.800000;291.1541;10.7472;;;225.0000;70.0000
60340;30702.900000;291.1543;10.7552;;;225.0000;70.0000
60340;30703.000000;291.1545;10.7632;;;225.0000;70.0000
60340;30703.100000;291.1548;10.7711;;;225.0000;70.0000
60340;30703.200000;291.1550;10.7791;;;225.0000;70.0000
60340;30703.300000;291.1552;10.7871;;;225.0000;70.0000
60340;30703.400000;291.1555;10.7951;;;225.0000;70.0000
60340;30703.500000;291.1557;10.8031;;;225.0000;70.0000
60340;30703.600000;291.1559;10.8111;;;225.0000;70.0000
60340;30703.700000;291.1562;10.8190;;;225.0000;70.0000
60340;30703.800000;291.1564;10.8270;;;225.0000;70.0000
60340;30703.900000;291.1566;10.8350;;;225.0000;70.0000
60340;30704.000000;291.1568;10.8430;;;225.0000;70.0000
60340;30704.100000;291.1571;10.8510;;;225.0000;70.0000
60340;30704.200000;291.1573;10.8590;;;225.0000;70.0000
60340;30704.300000;291.1575;10.8670;;;225.0000;70.0000
60340;30704.400000;291.1578;10.8750;;;225.0000;70.0000
60340;30704.500000;291.1580;10.8831;;;225.0000;70.0000
60340;30704.600000;291.1582;10.8911;;;225.0000;70.0000
60340;30704.700000;291.1585;10.8991;;;225.0000;70.0000
60340;30704.800000;291.1587;10.9071;;;225.0000;70.0000
60340;30704.900000;291.1589;10.9151;;;225.0000;70.0000
60340;30705.000000;291.1591;10.9232;;;225.0000;70.0000
60340;30705.100000;291.1594;10.9312;;;225.0000;70.0000
60340;30705.200000;291.1596;10.9392;;;225.0000;70.0000
60340;30705.300000;291.1598;10.9472;;;225.0000;70.0000
60340;30705.400000;291.1601;10.9553;;;225.0000;70.0000
60340;30705.500000;291.1603;10.9633;;;225.0000;70.0000
60340;30705.600000;291.1605;10.9714;;;225.0000;70.0000
60340;30705.700000;291.1608;10.9794;;;225.0000;70.0000
60340;30705.800000;291.1610;10.9874;;;225.0000;70.0000
60340;30705.900000;291.1612;10.9955;;;225.0000;70.0000
60340;30706.000000;291.1614;11.0035;;;225.0000;70.0000
60340;30706.100000;291.1617;11.0116;;;225.0000;70.0000
60340;30706.200000;291.1619;11.0196;;;225.0000;70.0000
60340;30706.300000;291.1621;11.0277;;;225.0000;70.0000
60340;30706.400000;291.1624;11.0358;;;225.0000;70.0000
60340;30706.500000;291.1626;11.0438;;;225.0000;70.0000
60340;30706.600000;291.1628;11.0519;;;225.0000;70.0000
60340;30706.700000;291.1631;11.0599;;;225.0000;70.0000
60340;30706.800000;291.1633;11.0680;;;225.0000;70.0000
60340;30706.900000;291.1635;11.0761;;;225.0000;70.0000
60340;30707.000000;291.1637;11.0842;;;225.0000;70.0000
60340;30707.100000;291.1640;11.0922;;;225.0000;70.0000
60340;30707.200000;291.1642;11.1003;;;225.0000;70.0000
60340;30707.300000;291.1644;11.1084;;;225.0000;70.0000
60340;30707.400000;291.1647;11.1165;;;225.0000;70.0000
60340;30707.500000;291.1649;11.1246;;;225.0000;70.0000
60340;30707.600000;291.1651;11.1327;;;225.0000;70.0000
60340;30707.700000;291.1653;11.1408;;;225.0000;70.0000
60340;30707.800000;291.1656;11.1489;;;225.0000;70.0000
60340;30707.900000;291.1658;11.1570;;;225.0000;70.0000
60340;30708.000000;291.1660;11.1651;;;225.0000;70.0000
60340;30708.100000;291.1663;11.1732;;;225.0000;70.0000
60340;30708.200000;291.1665;11.1813;;;225.0000;70.0000
60340;30708.300000;291.1667;11.1894;;;225.0000;70.0000
60340;30708.400000;291.1669;11.1975;;;225.0000;70.0000
60340;30708.500000;291.1672;11.2056;;;225.0000;70.0000
60340;30708.600000;291.1674;11.2137;;;225.0000;70.0000
60340;30708.700000;291.1676;11.2218;;;225.0000;70.0000
60340;30708.800000;291.1679;11.2299;;;225.0000;70.0000
60340;30708.900000;291.1681;11.2381;;;225.0000;70.0000
60340;30709.000000;291.1683;11.2462;;;225.0000;70.0000
60340;30709.100000;291.1686;11.2543;;;225.0000;70.0000
60340;30709.200000;291.1688;11.2625;;;225.0000;70.0000
60340;30709.300000;291.1690;11.2706;;;225.0000;70.0000
60340;30709.400000;291.1692;11.2787;;;225.0000;70.0000
60340;30709.500000;291.1695;11.2869;;;225.0000;70.0000
60340;30709.600000;291.1697;11.2950;;;225.0000;70.0000
60340;30709.700000;291.1699;11.3032;;;225.0000;70.0000
60340;30709.800000;291.1701;11.3113;;;225.0000;70.0000
60340;30709.900000;291.1704;11.3194;;;225.0000;70.0000
60340;30710.000000;291.1706;11.3276;;;225.0000;70.0000
60340;30710.100000;291.1708;11.3358;;;225.0000;70.0000
60340;30710.200000;291.1711;11.3439;;;225.0000;70.0000
60340;30710.300000;291.1713;11.3521;;;225.0000;70.0000
60340;30710.400000;291.1715;11.3602;;;225.0000;70.0000
60340;30710.500000;291.1717;11.3684;;;225.0000;70.0000
60340;30710.600000;291.1720;11.3766;;;225.0000;70.0000
60340;30710.700000;291.1722;11.3847;;;225.0000;70.0000
60340;30710.800000;291.1724;11.3929;;;225.0000;70.0000
60340;30710.900000;291.1727;11.4011;;;225.0000;70.0000
60340;30711.000000;291.1729;11.4093;;;225.0000;70.0000
60340;30711.100000;291.1731;11.4174;;;225.0000;70.0000
60340;30711.200000;291.1733;11.4256;;;225.0000;70.0000
60340;30711.300000;291.1736;11.4338;;;225.0000;70.0000
60340;30711.400000;291.1738;11.4420;;;225.0000;70.0000
60340;30711.500000;291.1740;11.4502;;;225.0000;70.0000
60340;30711.600000;291.1743;11.4584;;;225.0000;70.0000
60340;30711.700000;291.1745;11.4666;;;225.0000;70.0000
60340;30711.800000;291.1747;11.4748;;;225.0000;70.0000
60340;30711.900000;291.1749;11.4830;;;225.0000;70.0000
60340;30712.000000;291.1752;11.4912;;;225.0000;70.0000
60340;30712.100000;291.1754;11.4994;;;225.0000;70.0000
60340;30712.200000;291.1756;11.5076;;;225.0000;70.0000
60340;30712.300000;291.1758;11.5158;;;225.0000;70.0000
60340;30712.400000;291.1761;11.5240;;;225.0000;70.0000
60340;30712.500000;291.1763;11.5323;;;225.0000;70.0000
60340;30712.600000;291.1765;11.5405;;;225.0000;70.0000
60340;30712.700000;291.1768;11.5487;;;225.0000;70.0000
60340;30712.800000;291.1770;11.5569;;;225.0000;70.0000
60340;30712.900000;291.1772;11.5652;;;225.0000;70.0000
60340;30713.000000;291.1774;11.5734;;;225.0000;70.0000
60340;30713.100000;291.1777;11.5816;;;225.0000;70.0000
60340;30713.200000;291.1779;11.5899;;;225.0000;70.0000
60340;30713.300000;291.1781;11.5981;;;225.0000;70.0000
60340;30713.400000;291.1784;11.6063;;;225.0000;70.0000
60340;30713.500000;291.1786;11.6146;;;225.0000;70.0000
60340;30713.600000;291.1788;11.6228;;;225.0000;70.0000
60340;30713.700000;291.1790;11.6311;;;225.0000;70.0000
60340;30713.800000;291.1793;11.6393;;;225.0000;70.0000
60340;30713.900000;291.1795;11.6476;;;225.0000;70.0000
60340;30714.000000;291.1797;11.6559;;;225.0000;70.0000
60340;30714.100000;291.1799;11.6641;;;225.0000;70.0000
60340;30714.200000;291.1802;11.6724;;;225.0000;70.0000
60340;30714.300000;291.1804;11.6806;;;225.0000;70.0000
60340;30714.400000;291.1806;11.6889;;;225.0000;70.0000
60340;30714.500000;291.1808;11.6972;;;225.0000;70.0000
60340;30714.600000;291.1811;11.7055;;;225.0000;70.0000
60340;30714.700000;291.1813;11.7137;;;225.0000;70.0000
60340;30714.800000;291.1815;11.7220;;;225.0000;70.0000
60340;30714.900000;291.1818;11.7303;;;225.0000;70.0000
60340;30715.000000;291.1820;11.7386;;;225.0000;70.0000
60340;30715.100000;291.1822;11.7469;;;225.0000;70.0000
60340;30715.200000;291.1824;11.7552;;;225.0000;70.0000
60340;30715.300000;291.1827;11.7635;;;225.0000;70.0000
60340;30715.400000;291.1829;11.7718;;;225.0000;70.0000
60340;30715.500000;291.1831;11.7800;;;225.0000;70.0000
60340;30715.600000;291.1833;11.7884;;;225.0000;70.0000
60340;30715.700000;291.1836;11.7967;;;225.0000;70.0000
60340;30715.800000;291.1838;11.8050;;;225.0000;70.0000
60340;30715.900000;291.1840;11.8133;;;225.0000;70.0000
60340;30716.000000;291.1842;11.8216;;;225.0000;70.0000
60340;30716.100000;291.1845;11.8299;;;225.0000;70.0000
60340;30716.200000;291.1847;11.8382;;;225.0000;70.0000
60340;30716.300000;291.1849;11.8465;;;225.0000;70.0000
60340;30716.400000;291.1851;11.8549;;;225.0000;70.0000
60340;30716.500000;291.1854;11.8632;;;225.0000;70.0000
60340;30716.600000;291.1856;11.8715;;;225.0000;70.0000
60340;30716.700000;291.1858;11.8798;;;225.0000;70.0000
60340;30716.800000;291.1861;11.8882;;;225.0000;70.0000
60340;30716.900000;291.1863;11.8965;;;225.0000;70.0000
60340;30717.000000;291.1865;11.9049;;;225.0000;70.0000
60340;30717.100000;291.1867;11.9132;;;225.0000;70.0000
60340;30717.200000;291.1870;11.9215;;;225.0000;70.0000
60340;30717.300000;291.1872;11.9299;;;225.0000;70.0000
60340;30717.400000;291.1874;11.9382;;;225.0000;70.0000
60340;30717.500000;291.1876;11.9466;;;225.0000;70.0000
