===============================================================================
= Module: UtilititesSLR   |   Example: TrackingSLR
===============================================================================
= Intputs:
-------------------------------------------------------------------------------
= File:        1328_cpf_240128_02901.sgf
= Object:      beaconc
= Avoid Sun:   true
= Avoid angle: 15
= Delta:       100
= Min el:      15
===============================================================================
= Outputs:
-------------------------------------------------------------------------------
= Trim at start: true
= Trim at end:   true
= Sun collision: true
= Sun at start:  false
= Sun at end:    true
= Sun deviation: false
= El deviation: false
===============================================================================
mjd;sod;pass_az;pass_el;track_az;track_el;sun_az;sun_el
60340;30711.400000;291.1738;11.4420;;;121.3714;10.7562
60340;30711.500000;291.1740;11.4502;;;121.3717;10.7565
60340;30711.600000;291.1743;11.4584;;;121.3720;10.7568
60340;30711.700000;291.1745;11.4666;;;121.3723;10.7570
60340;30711.800000;291.1747;11.4748;;;121.3726;10.7573
60340;30711.900000;291.1749;11.4830;;;121.3728;10.7576
60340;30712.000000;291.1752;11.4912;;;121.3731;10.7579
60340;30712.100000;291.1754;11.4994;;;121.3734;10.7582
60340;30712.200000;291.1756;11.5076;;;121.3737;10.7585
60340;30712.300000;291.1758;11.5158;;;121.3740;10.7588
60340;30712.400000;291.1761;11.5240;;;121.3743;10.7590
60340;30712.500000;291.1763;11.5323;;;121.3745;10.7593
60340;30712.600000;291.1765;11.5405;;;121.3748;10.7596
60340;30712.700000;291.1768;11.5487;;;121.3751;10.7599
60340;30712.800000;291.1770;11.5569;;;121.3754;10.7602
60340;30712.900000;291.1772;11.5652;;;121.3757;10.7605
60340;30713.000000;291.1774;11.5734;;;121.3759;10.7608
60340;30713.100000;291.1777;11.5816;;;121.3762;10.7611
60340;30713.200000;291.1779;11.5899;;;121.3765;10.7613
60340;30713.300000;291.1781;11.5981;;;121.3768;10.7616
60340;30713.400000;291.1784;11.6063;;;121.3771;10.7619
60340;30713.500000;291.1786;11.6146;;;121.3773;10.7622
60340;30713.600000;291.1788;11.6228;;;121.3776;10.7625
60340;30713.700000;291.1790;11.6311;;;121.3779;10.7628
60340;30713.800000;291.1793;11.6393;;;121.3782;10.7631
